ef_base_id,native_pes21_id,physical_source_id,canonical_name,status,source_card_id,stats_source_card_id,portrait_asset_id,face_owner_id,commentary_owner_id
182057,182057,628962,Anis Doubal,active,182057,182057,182057,,
182059,182059,628963,Jah-Mason Telusson,active,182059,182059,182059,,
182061,182061,628965,Alwande Roaldsøy,active,182061,182061,182061,,
182062,539552,539552,Anísio Cabral,active,182062,182062,539552,,539552
182064,182064,628968,Tyrone Samba,active,182064,182064,182064,,
182065,182065,628970,Kian Noble,active,182065,182065,182065,,
182067,182067,628973,Takumi Matsumura,active,182067,182067,182067,,
182072,182072,628976,Héctor Bobadilla,active,182072,182072,182072,,
182073,182073,628977,Alex Tóth,active,182073,182073,182073,,
182074,182074,628981,Charlie Stevens,active,182074,182074,182074,,
182077,539559,539559,Alexander Shaw,active,182077,182077,539559,,539559
182078,182078,628983,Yugasubedei Takenoya,active,182078,182078,182078,,
182079,182079,628985,Thalisson Alves,active,182079,182079,182079,,
182080,182080,628987,Shido Tanaka,active,182080,182080,182080,,
182081,182081,628990,Rei Shimano,active,182081,182081,182081,,
182082,182082,628992,Edoardo Morucci,active,182082,182082,182082,,
182088,182088,628994,Daniel Ezendu,active,182088,182088,182088,,
182090,182090,628998,Ippei Takahashi,active,182090,182090,182090,,
182091,182091,628999,Yota Sugiyama,active,182091,182091,182091,,
182092,182092,629005,Hayato Kawahara,active,182092,182092,182092,,
182093,182093,629007,Tomás Blandón,active,182093,182093,182093,,
182102,182102,629008,Mads Hedenstad,active,182102,182102,182102,,
182103,140858,140858,David Rodríguez,active,182103,182103,140858,,140858
182104,182104,629009,Jesús Campo,active,182104,182104,182104,,
182105,182105,629010,Oscar Caicedo,active,182105,182105,182105,,
182106,182106,629012,Frank Martínez,active,182106,182106,182106,,
182107,182107,629014,Daniel Mesonero,active,182107,182107,182107,,
182108,182108,629017,Rio Robbemond,active,182108,182108,182108,,
182110,182110,629022,David Fernández,active,182110,182110,182110,,
182111,182111,629023,Nazareno Roselli,active,182111,182111,182111,,
182112,182112,629024,Simon Escobar,active,182112,182112,182112,,
182113,182113,629025,Lucio Ferrari,active,182113,182113,182113,,
182114,182114,629027,Lautaro Ortiz,active,182114,182114,182114,,
182115,182115,629029,Facundo Jainikoski,active,182115,182115,182115,,
182116,182116,629030,Tommaso Guizzo,active,182116,182116,182116,,
182137,182137,629033,Shun Fukumoto,active,182137,182137,182137,,
182138,182138,629036,Toshiya Matsuoka,active,182138,182138,182138,,
182139,182139,629038,Sora Masuda,active,182139,182139,182139,,
182142,182142,629039,Riku Sakata,active,182142,182142,182142,,
182145,182145,629040,McGhee Jelani Ren,active,182145,182145,182145,,
182146,182146,629042,Michele Staccioli,active,182146,182146,182146,,
182149,182149,629050,Yuto Sakurai,active,182149,182149,182149,,
182154,182154,629053,Hikaru Iwase,active,182154,182154,182154,,
182158,182158,629072,Takumi Matsui,active,182158,182158,182158,,
182159,182159,629077,Gota Yamaguchi,active,182159,182159,182159,,
182163,182163,629082,Tokito Mizumaki,active,182163,182163,182163,,
182164,182164,629091,Keishin Yoshikawa,active,182164,182164,182164,,
182167,182167,629092,Francisco Chavarría,active,182167,182167,182167,,
182168,182168,629099,Felipe Reyes,active,182168,182168,182168,,
182169,182169,629100,Martín Muñoz,active,182169,182169,182169,,
182170,182170,629101,Samuel Córdova,active,182170,182170,182170,,
182171,182171,629113,M. Fernández,active,182171,182171,182171,,
